00:00:00,00:00:05,nocall,nocall,nocall
00:00:05,00:00:10,nocall,nocall,nocall
00:00:10,00:00:15,nocall,nocall,nocall
00:00:15,00:00:20,eawpew,nocall,nocall
00:00:20,00:00:25,eawpew,nocall,nocall
00:00:25,00:00:30,nocall,nocall,nocall
00:00:30,00:00:35,eawpew,nocall,nocall
00:00:35,00:00:40,eawpew,nocall,nocall
00:00:40,00:00:45,eawpew,nocall,nocall
00:00:45,00:00:50,nocall,nocall,nocall
00:00:50,00:00:55,eawpew,nocall,nocall
00:00:55,00:01:00,eawpew,nocall,nocall
00:01:00,00:01:05,nocall,nocall,nocall
00:01:05,00:01:10,eawpew,nocall,nocall
00:01:10,00:01:15,nocall,nocall,nocall
00:01:15,00:01:20,eawpew,nocall,nocall
00:01:20,00:01:25,nocall,nocall,nocall
00:01:25,00:01:30,eawpew,nocall,nocall
00:01:30,00:01:35,eawpew,nocall,nocall
00:01:35,00:01:40,nocall,nocall,nocall
00:01:40,00:01:45,eawpew,nocall,nocall
00:01:45,00:01:50,eawpew,nocall,nocall
00:01:50,00:01:55,eawpew,nocall,nocall
00:01:55,00:02:00,nocall,nocall,nocall
00:02:00,00:02:05,nocall,nocall,nocall
00:02:05,00:02:10,eawpew,nocall,nocall
00:02:10,00:02:15,eawpew,nocall,nocall
00:02:15,00:02:20,eawpew,nocall,nocall
00:02:20,00:02:25,eawpew,nocall,nocall
00:02:25,00:02:30,nocall,nocall,nocall
00:02:30,00:02:35,eawpew,nocall,nocall
00:02:35,00:02:40,eawpew,nocall,nocall
00:02:40,00:02:45,orbeup1,nocall,nocall
00:02:45,00:02:50,eawpew,nocall,nocall
00:02:50,00:02:55,nocall,nocall,nocall
00:02:55,00:03:00,eawpew,nocall,nocall
00:03:00,00:03:05,eawpew,nocall,nocall
00:03:05,00:03:10,eawpew,nocall,nocall
00:03:10,00:03:15,nocall,nocall,nocall
00:03:15,00:03:20,eawpew,nocall,nocall
00:03:20,00:03:25,nocall,nocall,nocall
00:03:25,00:03:30,eawpew,nocall,nocall
00:03:30,00:03:35,nocall,nocall,nocall
00:03:35,00:03:40,eawpew,nocall,nocall
00:03:40,00:03:45,eawpew,nocall,nocall
00:03:45,00:03:50,reevir1,acafly,nocall
00:03:50,00:03:55,eawpew,nocall,nocall
00:03:55,00:04:00,eawpew,nocall,nocall
00:04:00,00:04:05,eawpew,nocall,nocall
00:04:05,00:04:10,eawpew,andsol1,obnthr1
00:04:10,00:04:15,obnthr1,nocall,nocall
00:04:15,00:04:20,reevir1,eawpew,nocall
00:04:20,00:04:25,eawpew,acafly,nocall
00:04:25,00:04:30,eawpew,reevir1,acafly
00:04:30,00:04:35,andsol1,nocall,nocall
00:04:35,00:04:40,eawpew,acafly,nocall
00:04:40,00:04:45,reevir1,acafly,nocall
00:04:45,00:04:50,eawpew,nocall,nocall
00:04:50,00:04:55,nocall,nocall,nocall
00:04:55,00:05:00,eawpew,nocall,nocall
00:05:00,00:05:05,eawpew,nocall,nocall
00:05:05,00:05:10,nocall,nocall,nocall
00:05:10,00:05:15,eawpew,nocall,nocall
00:05:15,00:05:20,nocall,nocall,nocall
00:05:20,00:05:25,eawpew,nocall,nocall
00:05:25,00:05:30,nocall,nocall,nocall
00:05:30,00:05:35,reevir1,eawpew,nocall
00:05:35,00:05:40,nocall,nocall,nocall
00:05:40,00:05:45,eawpew,nocall,nocall
00:05:45,00:05:50,nocall,nocall,nocall
00:05:50,00:05:55,eawpew,nocall,nocall
00:05:55,00:06:00,nocall,nocall,nocall
00:06:00,00:06:05,eawpew,nocall,nocall
00:06:05,00:06:10,nocall,nocall,nocall
00:06:10,00:06:15,nocall,nocall,nocall
00:06:15,00:06:20,nocall,nocall,nocall
00:06:20,00:06:25,reevir1,eawpew,nocall
00:06:25,00:06:30,rutjac1,nocall,nocall
00:06:30,00:06:35,reevir1,acafly,nocall
00:06:35,00:06:40,reevir1,eawpew,acafly
00:06:40,00:06:45,reevir1,acafly,nocall
00:06:45,00:06:50,reevir1,eawpew,acafly
00:06:50,00:06:55,reevir1,nocall,nocall
00:06:55,00:07:00,eawpew,reevir1,acafly
00:07:00,00:07:05,reevir1,acafly,nocall
00:07:05,00:07:10,eawpew,reevir1,nocall
00:07:10,00:07:15,reevir1,acafly,nocall
00:07:15,00:07:20,nocall,nocall,nocall
00:07:20,00:07:25,nocall,nocall,nocall
00:07:25,00:07:30,eawpew,reevir1,nocall
00:07:30,00:07:35,reevir1,eawpew,acafly
00:07:35,00:07:40,reevir1,acafly,nocall
00:07:40,00:07:45,reevir1,nocall,nocall
00:07:45,00:07:50,reevir1,eawpew,nocall
00:07:50,00:07:55,nocall,nocall,nocall
00:07:55,00:08:00,eawpew,nocall,nocall
00:08:00,00:08:05,nocall,nocall,nocall
00:08:05,00:08:10,eawpew,nocall,nocall
00:08:10,00:08:15,eawpew,reevir1,nocall
00:08:15,00:08:20,eawpew,nocall,nocall
00:08:20,00:08:25,nocall,nocall,nocall
00:08:25,00:08:30,eawpew,nocall,nocall
00:08:30,00:08:35,eawpew,nocall,nocall
00:08:35,00:08:40,eawpew,nocall,nocall
00:08:40,00:08:45,lesgre1,eawpew,nocall
00:08:45,00:08:50,nocall,nocall,nocall
00:08:50,00:08:55,eawpew,nocall,nocall
00:08:55,00:09:00,nocall,nocall,nocall
00:09:00,00:09:05,nocall,nocall,nocall
00:09:05,00:09:10,eawpew,nocall,nocall
00:09:10,00:09:15,nocall,nocall,nocall
00:09:15,00:09:20,eawpew,nocall,nocall
00:09:20,00:09:25,eawpew,nocall,nocall
00:09:25,00:09:30,nocall,nocall,nocall
00:09:30,00:09:35,eawpew,nocall,nocall
00:09:35,00:09:40,eawpew,nocall,nocall
00:09:40,00:09:45,batpig1,nocall,nocall
00:09:45,00:09:50,nocall,nocall,nocall
00:09:50,00:09:55,eawpew,nocall,nocall
00:09:55,00:10:00,eawpew,nocall,nocall
